player_name,kills,deaths,assists,KDA,gold_Earned,gold_Spend,Total_Damage_dealt,Damage_Taken,status
Better Team wins,4,8,1,0.625,6357,6100,12612,14178,Lose
Better Team wins,0,0,0,0,1101,500,891,428,Win
Better Team wins,0,8,1,0.125,8090,7600,8523,21000,Lose
Better Team wins,4,11,1,0.45454545454545453,10635,10050,18054,32655,Lose
Better Team wins,2,2,5,3.5,10250,10100,5326,25972,Win
Better Team wins,7,9,5,1.3333333333333333,11140,10900,18082,36806,Lose
Better Team wins,10,14,6,1.1428571428571428,13231,11750,38997,51938,Lose
Better Team wins,1,10,19,2,10166,9500,10830,50346,Lose
Better Team wins,3,13,14,1.3076923076923077,9429,9300,10176,43808,Lose
Better Team wins,4,4,18,5.5,8601,8100,7121,7228,Lose
Better Team wins,5,11,39,4,12083,11100,21266,52523,Lose
Better Team wins,6,3,1,2.3333333333333335,13519,12533,11004,31603,Win
Better Team wins,2,7,3,0.7142857142857143,12405,11950,23286,29728,Lose
Better Team wins,20,11,27,4.2727272727272725,15972,14300,43607,25803,Win
Better Team wins,14,10,27,4.1,14167,14000,30711,33116,Win
Better Team wins,17,9,23,4.444444444444445,16689,17390,63428,29525,Lose
Better Team wins,11,10,30,4.1,14922,14600,28136,24640,Win
Better Team wins,9,8,16,3.125,12455,11500,23828,19324,Lose
Better Team wins,10,13,24,2.6153846153846154,15587,14100,24745,37245,Lose
Better Team wins,3,8,14,2.125,8288,7300,12546,34768,Lose
Better Team wins,0,5,0,0,4855,4500,2963,10924,Lose
Better Team wins,1,4,0,0.25,5487,5350,12511,13740,Lose
Better Team wins,0,8,9,1.125,6866,6600,6310,19912,Lose
Better Team wins,15,14,37,3.7142857142857144,18235,16800,67800,42487,Win
Better Team wins,12,12,20,2.6666666666666665,18053,17200,33922,27759,Lose
Better Team wins,9,9,28,4.111111111111111,13978,13300,26111,25178,Lose
Better Team wins,12,11,12,2.1818181818181817,14539,14250,27151,20042,Win
Better Team wins,15,10,33,4.8,15461,14900,35953,28120,Win
Better Team wins,11,10,12,2.3,16457,14700,25587,49380,Lose
Better Team wins,8,4,9,4.25,12056,11700,15323,32988,Win
Better Team wins,0,0,1,1,1361,500,618,2376,Win
Better Team wins,3,0,7,10,7824,6487,5782,16646,Win
Better Team wins,4,17,20,1.411764705882353,11810,11500,18499,35922,Lose
Better Team wins,0,1,0,0,2119,0,0,19807,Lose
Better Team wins,0,1,0,0,239,0,0,3258,Lose
Better Team wins,0,2,0,0,338,0,600,4827,Lose
Better Team wins,0,2,0,0,49,0,600,3191,Lose
Better Team wins,2,12,19,1.75,13732,13050,24990,71664,Lose
Better Team wins,12,3,12,8,17461,14275,26536,37616,Win
Better Team wins,2,6,6,1.3333333333333333,10312,10300,15108,37541,Lose
Better Team wins,3,4,5,2,8245,7700,14917,20688,Lose
Better Team wins,13,7,23,5.142857142857143,17307,16150,59879,21671,Lose
Better Team wins,10,7,13,3.2857142857142856,12613,9400,14309,21744,Win
Better Team wins,9,13,11,1.5384615384615385,10780,10400,20231,29973,Lose
Better Team wins,0,0,0,0,1955,1200,1222,272,Win
Better Team wins,13,22,26,1.7727272727272727,18262,17300,43956,122385,Lose
Better Team wins,9,18,38,2.611111111111111,17524,16533,45823,73022,Win
Better Team wins,12,23,25,1.608695652173913,17434,15533,31712,50052,Win
Better Team wins,7,13,33,3.076923076923077,12892,10950,21666,25146,Win
Better Team wins,6,14,10,1.1428571428571428,8684,8350,12540,23301,Lose
Better Team wins,10,18,38,2.6666666666666665,16010,14500,57551,50747,Lose
Better Team wins,15,13,25,3.076923076923077,18458,17200,48884,29118,Lose
Better Team wins,13,14,26,2.7857142857142856,14965,14200,24823,40113,Win
Better Team wins,8,15,28,2.4,16305,16500,36347,55937,Lose
Better Team wins,16,16,26,2.625,16127,15100,45696,38408,Lose
Better Team wins,21,5,23,8.8,18932,17300,37713,19160,Win
Better Team wins,11,13,33,3.3846153846153846,16545,14200,45541,34712,Win
Better Team wins,19,17,35,3.176470588235294,16446,14600,53547,40343,Win
Better Team wins,14,8,37,6.375,13429,11550,43743,35268,Win
Better Team wins,21,14,35,4,19473,19200,41716,45804,Win
Better Team wins,18,8,29,5.875,19196,16300,45708,22606,Win
Better Team wins,14,14,10,1.7142857142857142,11685,11100,24534,30180,Lose
Better Team wins,10,14,24,2.4285714285714284,14819,13700,22691,29195,Win
Better Team wins,19,16,17,2.25,19641,19433,44037,39527,Lose
Better Team wins,4,11,32,3.272727272727273,11879,11300,23774,40614,Lose
Better Team wins,24,8,27,6.375,18436,17400,59633,26873,Lose
Better Team wins,25,13,24,3.769230769230769,20850,19000,84933,43717,Win
Better Team wins,5,12,17,1.8333333333333333,10824,10050,15081,23180,Lose
Better Team wins,6,7,21,3.857142857142857,11748,11050,20955,18121,Win
Better Team wins,18,8,21,4.875,16716,16600,45000,26282,Win
Better Team wins,8,10,34,4.2,18202,14100,62227,32631,Win
Better Team wins,7,12,20,2.25,11034,10700,22452,27262,Lose
Better Team wins,5,7,24,4.142857142857143,11859,11600,24658,18203,Lose
Better Team wins,2,14,29,2.2142857142857144,13305,12500,34858,88984,Lose
Better Team wins,23,16,20,2.6875,19431,19440,39633,37341,Lose
Better Team wins,10,9,34,4.888888888888889,15964,12050,19091,26115,Win
Better Team wins,27,10,26,5.3,18852,14550,50213,39966,Win
Better Team wins,5,10,17,2.2,13437,13250,24721,23859,Lose
Better Team wins,11,9,17,3.111111111111111,13909,11700,28411,36111,Win
Better Team wins,1,8,4,0.625,6864,6700,5594,18984,Lose
Better Team wins,13,15,28,2.7333333333333334,18292,17500,52571,39361,Lose
Better Team wins,26,11,28,4.909090909090909,19871,19800,61680,34109,Lose
Better Team wins,8,7,44,7.428571428571429,13396,10850,30891,28129,Win
Better Team wins,12,14,19,2.2142857142857144,14069,14000,29998,37554,Win
Better Team wins,3,12,13,1.3333333333333333,8945,8500,12700,22035,Lose
Better Team wins,4,7,9,1.8571428571428572,9788,9325,7205,21708,Lose
